Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,1.8617,3.9502,-27.8204,-1.034746,8.453693,4.610072,0.020808,-0.066241,-0.024282,0
0.1,2.6545,4.8609,-29.613,-1.00032,8.846744,4.077489,-0.016921,-0.061606,-0.025778,0
0.2,2.3277,6.2083,-28.6617,-0.718804,8.450851,4.431268,0.064049,0.01011,0.003787,0
0.3,1.1871,7.782,-25.7172,-0.443151,8.600761,4.653681,-0.011362,0.07028,-0.002932,0
0.4,-0.4613,9.3712,-21.5302,-0.367777,8.364949,5.004828,-0.016799,-0.195782,-0.334937,0
0.5,-2.3118,10.7654,-16.8515,-1.199881,8.617512,4.667918,0.09725,-0.374735,-0.477116,0
0.6,-3.2416,11.1816,-13.3196,-1.193181,8.4012,4.839962,0.041447,-0.47675,-0.457507,0
0.7,-3.9001,11.1164,-10.8347,-1.122114,8.531968,4.857071,0.062186,-0.648219,-0.484171,0
0.8,-4.5565,10.9082,-9.5777,-1.916651,8.782736,4.909235,0.142545,-0.557475,-0.27663,0
0.9,-6.2754,10.6006,-8.5787,-2.359622,8.101649,3.750152,0.158863,-0.227165,0.162795,0
1.0,-8.4177,10.6895,-8.01,-1.814717,8.620622,4.695675,-0.149509,0.048839,0.543364,0
1.1,-10.6677,10.806,-7.8418,-1.430789,8.230233,4.475655,0.085185,0.420153,0.728945,0
1.2,-12.508,10.8983,-8.6309,-0.183051,7.985567,5.111548,-0.07028,0.428735,0.581818,0
1.3,-14.0495,11.2293,-10.1106,-0.280319,8.322836,5.131767,-0.023885,0.058124,0.059162,0
1.4,-14.1216,11.3388,-12.4024,-0.619023,8.228797,4.357928,0.009255,-0.115118,-0.065149,0
1.5,-12.8771,11.5128,-15.9734,-1.931008,9.250174,4.167579,0.004306,0.134604,0.248317,0
1.6,-9.3255,10.1502,-19.765,-0.847658,8.372845,4.557131,-0.080726,0.458209,0.568929,0
1.7,-5.2402,8.8821,-23.2636,-0.479522,8.360881,4.841278,-0.05284,0.606833,0.5364,0
1.8,-1.7069,7.194,-25.2295,0.170609,8.176036,4.929932,-0.073945,0.550878,0.309159,0
1.9,0.7182,5.3962,-24.4403,0.085663,8.027441,4.285306,-0.042974,0.4127,0.018967,0
2.0,2.1908,3.4101,-21.8395,-0.207458,8.313264,5.201279,-0.048686,0.1029,-0.329531,0
2.1,2.5799,1.8921,-18.3855,0.47007,8.623852,4.743292,0.049816,-0.202105,-0.619112,0
2.2,2.0904,0.9748,-14.7668,0.09018,8.262118,4.902296,0.02894,-0.336739,-0.712154,0
2.3,0.896,0.5381,-12.016,-1.045903,8.509356,5.348078,0.050366,-0.485973,-0.767093,0
2.4,-0.0476,0.7621,-10.2198,-1.116013,8.714541,5.016194,0.059162,-0.542326,-0.611934,0
2.5,-1.0838,1.7542,-9.5511,-1.614677,8.347482,5.261578,0.050213,-0.392206,-0.313587,0
2.6,-2.3069,2.9564,-9.8702,-1.562752,8.249615,5.054718,0.058857,-0.335701,-0.156901,0
2.7,-3.5401,3.9698,-10.9674,-1.092204,8.405747,4.753462,0.138544,-0.271224,-0.077091,0
2.8,-4.33,4.0255,-12.1017,-1.731207,8.286584,4.885545,0.062553,-0.196851,0.056994,0
2.9,-4.6535,4.0764,-13.2001,-1.42361,8.156056,4.490251,0.009957,-0.004856,0.269452,0
3.0,-4.6321,4.2883,-14.6255,-1.007618,8.21791,5.381937,0.023885,0.013928,0.20238,0
3.1,-4.0124,4.7351,-16.5269,-0.569133,8.232386,5.589873,-0.002688,-0.090347,0.074312,0
3.2,-2.5096,5.3206,-17.9671,-1.258146,8.464012,5.074459,-0.017593,-0.044563,0.098471,0
3.3,-0.6719,5.3927,-19.4272,-1.542623,10.086495,9.715757,0.310014,0.121028,0.228998,0
3.4,1.0983,4.617,-20.7523,-2.137987,7.528179,2.915654,0.276691,0.335426,0.464929,0
3.5,2.3622,2.404,-22.3195,0.055753,7.637411,4.867001,-0.025168,0.118111,0.277638,0
3.6,3.5329,-0.0402,-23.7287,-0.35007,7.867242,1.904328,0.031857,0.103267,0.099693,0
3.7,4.2023,-2.0806,-24.9291,-0.682194,8.82808,4.11063,-0.390129,0.018479,0.070249,0
3.8,4.6232,-4.2304,-25.6244,-0.962992,6.186284,6.525945,-0.403568,0.196546,0.194377,0
3.9,3.9899,-4.9541,-25.7189,-0.142133,8.042037,3.833302,-0.492265,0.232495,0.260564,0
4.0,3.0599,-4.5863,-25.1129,0.427358,9.36144,8.300462,-0.302439,0.256075,0.123028,0
4.1,2.0867,-3.4464,-23.6117,-0.084347,6.972924,5.68427,0.051862,0.083322,-0.204762,0
4.2,1.0249,-1.6728,-21.1743,0.29336,7.986046,5.684748,0.189887,0.006414,-0.350239,0
4.3,0.1607,0.5036,-18.9122,-0.452124,8.145049,4.458307,0.411203,-0.146516,-0.506621,0
4.4,-0.6659,1.3855,-17.2603,-1.857668,10.037054,4.426004,0.211054,-0.421649,-0.610895,0
4.5,-0.9683,0.9746,-16.5274,-1.080808,8.16476,5.578866,0.048984,-0.360563,-0.289588,0
4.6,-0.7133,0.4502,-16.6605,-1.391426,8.615478,4.605825,0.073334,-0.15742,-0.046976,0
4.7,0.0811,0.6218,-17.5947,-1.35374,8.606624,4.601518,0.051221,-0.102137,0.039798,0
4.8,1.1869,0.5544,-19.2647,-1.26676,8.422855,4.899902,0.012064,-0.002993,0.134085,0
4.9,2.132,0.4659,-20.9019,-1.225843,8.188119,5.171009,0.028649,-0.027459,0.102595,0
5.0,2.9909,-0.4336,-22.0832,-0.876491,8.562836,4.7141,0.052565,-0.122204,0.016982,0
5.1,3.4167,-1.3886,-22.547,-1.539542,8.655079,4.672345,0.037294,-0.086774,0.101984,0
5.2,3.5853,-2.2459,-22.3409,-1.337707,8.524191,4.602116,0.069822,0.167774,0.350881,0
5.3,3.1636,-2.9589,-21.9593,-1.206222,8.560323,4.351707,-0.029199,0.244193,0.356745,0
